12,112
11,212
9,212
5,232
5,212
14,131
13,251
22,132
14,992
12,992
5,132
6,222
12,221
14,132
16,112
16,232
11,221
9,222
9,211
12,111
13,111
22,122
21,211
21,292
15,232
13,112
13,122
13,132
5,111
16,122
10,222
13,212
14,221
21,132
5,221
21,212
12,131
5,222
13,992
15,222
5,131
6,212
9,232
5,231
19,222
12,121
21,221
14,212
22,222
12,232
14,252
10,232
12,231
21,232
22,232
13,252
11,231
11,211
6,132
9,221
10,212
22,112
14,121
12,151
6,122
13,232
12,252
15,132
5,122
16,212
13,221
13,152
14,151
22,252
22,212
13,121
15,122
14,152
15,992
15,252
9,231
19,211
13,151
13,231
13,131
13,222
14,222
14,232
5,112
11,222
19,221
21,231
21,192
12,152
15,112
6,232
19,212
14,231
14,111
11,232
15,212
15,152
12,132
19,231
19,232
21,991
12,222
16,132
16,222
21,992
21,291
21,222
21,122
12,122
14,112
12,212
5,211
14,251
22,152
14,122
5,121
6,112
21,112
